satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department_RandD,Department_accounting,Department_hr,Department_management,Department_marketing,Department_product_mng,Department_sales,Department_support,Department_technical,salary_low,salary_medium,satisfaction_level_sq,avg_hours_x_salary_low,avg_hours_x_salary_medium,time_spend_x_salary_low,time_spend_x_salary_medium,num_project_x_salary_low,num_project_x_salary_medium
0.38,0.53,2,157,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1444,157,0,3,0,2,0
0.8,0.86,5,262,6,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.6400000000000001,0,262,0,6,0,5
0.11,0.88,7,272,4,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.0121,0,272,0,4,0,7
0.72,0.87,5,223,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.5184,223,0,5,0,5,0
0.37,0.52,2,159,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1369,159,0,3,0,2,0
0.41,0.5,2,153,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16809999999999997,153,0,3,0,2,0
0.1,0.77,6,247,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.010000000000000002,247,0,4,0,6,0
0.92,0.85,5,259,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.8464,259,0,5,0,5,0
0.89,1.0,5,224,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.7921,224,0,5,0,5,0
0.42,0.53,2,142,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.17639999999999997,142,0,3,0,2,0
0.45,0.54,2,135,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2025,135,0,3,0,2,0
0.11,0.81,6,305,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0121,305,0,4,0,6,0
0.84,0.92,4,234,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.7055999999999999,234,0,5,0,4,0
0.41,0.55,2,148,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16809999999999997,148,0,3,0,2,0
0.36,0.56,2,137,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1296,137,0,3,0,2,0
0.38,0.54,2,143,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1444,143,0,3,0,2,0
0.45,0.47,2,160,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2025,160,0,3,0,2,0
0.78,0.99,4,255,6,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.6084,255,0,6,0,4,0
0.45,0.51,2,160,3,1,1,1,False,False,False,False,False,False,True,False,False,True,False,0.2025,160,0,3,0,2,0
0.76,0.89,5,262,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.5776,262,0,5,0,5,0
0.11,0.83,6,282,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0121,282,0,4,0,6,0
0.38,0.55,2,147,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1444,147,0,3,0,2,0
0.09,0.95,6,304,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0081,304,0,4,0,6,0
0.46,0.57,2,139,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2116,139,0,3,0,2,0
0.4,0.53,2,158,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16000000000000003,158,0,3,0,2,0
0.89,0.92,5,242,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.7921,242,0,5,0,5,0
0.82,0.87,4,239,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.6723999999999999,239,0,5,0,4,0
0.4,0.49,2,135,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16000000000000003,135,0,3,0,2,0
0.41,0.46,2,128,3,0,1,0,False,True,False,False,False,False,False,False,False,True,False,0.16809999999999997,128,0,3,0,2,0
0.38,0.5,2,132,3,0,1,0,False,True,False,False,False,False,False,False,False,True,False,0.1444,132,0,3,0,2,0
